sid,seq,stitle,pid,awd,ptitle,doi,summary
9,2,Synthesis,9-2,,SWIM: Synthesizing What I Mean - Code Search and Idiomatic Snippet Synthesis,http://dx.doi.org/10.1145/2884781.2884808,自然言語の検索クエリから C# の API の利用例を出力する．Bing の検索履歴からキーワードと API の関係を学習しておくことで，クラス名などを含まないクエリにも対応する．
9,3,Synthesis,9-3,,Cross-Supervised Synthesis of Web-Crawlers,http://dx.doi.org/10.1145/2884781.2884842,Web サイトからデータを抽出するクローラ用の XPath 式を，具体的なデータの出現位置の情報をもとに生成する．人間の初期入力は多少不正確でも反復処理で洗練する．
9,4,Synthesis,9-4,,Automatic Model Generation from Documentation for Java API Functions,http://dx.doi.org/10.1145/2884781.2884881,自然言語 Javadoc 記述からメソッドの動作を再現するコードを生成し，ソースコードがないライブラリ等を含むプログラム解析・検証を可能にする．コンテナ系ライブラリが対象．
10,1,API,10-1,,Augmenting API Documentation with Insights from Stack Overflow,http://dx.doi.org/10.1145/2884781.2884800,API ドキュメントの不足している部分をStack Overflowの文で 補う
10,2,API,10-2,🏆,From Word Embeddings to Document Similarities for Improved Information Retrieval in Software Engineering,http://dx.doi.org/10.1145/2884781.2884862,コードに関係する文書で Word Embedding したら いい感じに検索できるようになりました!やったね!
10,3,API,10-3,,Learning API Usages from Bytecode: A Statistical Approach,http://dx.doi.org/10.1145/2884781.2884873,"APIの使用例を隠れマルコフモデルとして学習することで, 高精度な推薦 (コード補完) を実現"
11,1,Code Smells,11-1,,"On the ""Naturalness"" of Buggy Code",http://dx.doi.org/10.1145/2884781.2884848,ソースコードのバグを、「不自然な言語」として捉える。言語中の不自然さを計算し、バグ検知の補助として利用することができる。
11,2,Code Smells,11-2,,Code Anomalies Flock Together: Exploring Code Anomaly Agglomerations for Locating Design Problems,http://dx.doi.org/10.1145/2884781.2884868,Code AnomalyとDesign Problemの関係を調査したところ，DPの発見に役立つCAは他のCAと相互関係のかたまりを作ることがわかった
11,3,Code Smells,11-3,,Using (Bio)Metrics to Predict Code Quality Online,http://dx.doi.org/10.1145/2884781.2884803,生体データを利用してコード要素の品質的な問題(バグなど)を検出できるか評価を行い、生体データが優れたポテンシャルを持つことを示した
11,4,Code Smells,11-4,,CUSTODES: Automatic Spreadsheet Cell Clustering and Smell Detection Using Strong and Weak Features,http://dx.doi.org/10.1145/2884781.2884796,"spreadsheetにおいてさまざまな作表スタイルに合わせたsmell検出を行える手法を提案し、CUSTODESというツールを実装、評価を行った。"
12,1,Architecture,12-1,,"Disseminating Architectural Knowledge on Open-Source Projects: A Case Study of the Book ""Architecture of Open-Source Applications""",http://dx.doi.org/10.1145/2884781.2884792,
12,2,Architecture,12-2,,Identifying and Quantifying Architectural Debt,http://dx.doi.org/10.1145/2884781.2884822,
12,3,Architecture,12-3,,Decoupling Level: A New Metric for Architectural Maintenance Complexity,http://dx.doi.org/10.1145/2884781.2884825,
13,1,Testing 1,13-1,,On The Limits of Mutation Reduction Strategies,http://dx.doi.org/10.1145/2884781.2884787,
13,2,Testing 1,13-2,,Comparing White-Box and Black-Box Test Prioritization,http://dx.doi.org/10.1145/2884781.2884791,
13,3,Testing 1,13-3,,How Does Regression Test Prioritization Perform in Real-World Software Evolution?,http://dx.doi.org/10.1145/2884781.2884874,
13,4,Testing 1,13-4,,The Impact of Test Case Summaries on Bug Fixing Performance: An Empirical Investigation,http://dx.doi.org/10.1145/2884781.2884847,
14,1,Testing 2,14-1,,Reducing Combinatorics in GUI Testing of Android Applications,http://dx.doi.org/10.1145/2884781.2884853,カバレッジ率を下げずに，AndroidアプリのGUI組み合わせテスト数を下げる
14,2,Testing 2,14-2,,MobiPlay: A Remote Execution Based Record-and-Replay Tool for Mobile Applications,http://dx.doi.org/10.1145/2884781.2884854,KernelやSDKを変更することなく，実機を用いたAndroidアプリのRecord and Replayを実現
14,3,Testing 2,14-3,🏆,VDTest: An Automated Framework to Support Testing for Virtual Devices,http://dx.doi.org/10.1145/2884781.2884866,
14,4,Testing 2,14-4,,Automated Test Suite Generation for Time-Continuous Simulink Models,http://dx.doi.org/10.1145/2884781.2884797,
15,1,Effort Estimation and Search,15-1,,Missing Data Imputation Based on Low-Rank Recovery and Semi-Supervised Regression for Software Effort Estimation,http://dx.doi.org/10.1145/2884781.2884827,開発データの欠損値補完法として行列 の低ランク化と半教師あり学習を組み 合わせてみた.
15,2,Effort Estimation and Search,15-2,,Multi-objective Software Effort Estimation,http://dx.doi.org/10.1145/2884781.2884830,"予測誤差と信頼区間を最小化するよう に工数予測モデルを構築したら,精度 が向上した."
15,3,Effort Estimation and Search,15-3,,A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering,http://dx.doi.org/10.1145/2884781.2884880,"多目的最適化問題において,パレート 最適の評価指標として何を用いるべき かのガイドを提案している."
16,1,Product Lines,16-1,,A Comparison of 10 Sampling Algorithms for Configurable Systems,http://dx.doi.org/10.1145/2884781.2884793,適切なSampling Algorithmを選択するための，工数と欠陥検出能力のトレードオフに注視した評価
16,2,Product Lines,16-2,,Featured Model-Based Mutation Analysis,http://dx.doi.org/10.1145/2884781.2884821,Mutation Analysisは計算コストの観点から実用的でないと言われていた通説を覆す手法を提案した
16,3,Product Lines,16-3,,Feature-Model Interfaces: The Highway to Compositional Analyses of Highly-Configurable Systems,http://dx.doi.org/10.1145/2884781.2884823,
16,4,Product Lines,16-4,,How Does the Degree of Variability Affect Bug Finding?,http://dx.doi.org/10.1145/2884781.2884831,Variabilityを増加することで，バグ発見にかかる時間および正確さに影響があるかどうかの実験とその考察
17,1,Repair and Model Synthesis,17-1,,Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis,http://dx.doi.org/10.1145/2884781.2884807,
17,2,Repair and Model Synthesis,17-2,,An Analysis of the Search Spaces for Generate and Validate Patch Generation Systems,http://dx.doi.org/10.1145/2884781.2884872,
17,3,Repair and Model Synthesis,17-3,,PAC Learning-Based Verification and Model Synthesis,http://dx.doi.org/10.1145/2884781.2884860,
17,4,Repair and Model Synthesis,17-4,,StubDroid: Automatic Inference of Precise Data-Flow Summaries for the Android Framework,http://dx.doi.org/10.1145/2884781.2884816,
18,1,Languages,18-1,,Exploring Language Support for Immutability,http://dx.doi.org/10.1145/2884781.2884798,"不変性を分類する指標を定め，熟練者ソフトウエアエンジニアからのアンケートから特に推移性について着目し，自作したツールで評価
"
18,2,Languages,18-2,,The Evolution of C Programming Practices: A Study of the Unix Operating System 1973-2015,http://dx.doi.org/10.1145/2884781.2884799,"Unix開発44年間で開発者が行ってきたことをC言語のソースコードから
明らかにする"
18,3,Languages,18-3,,An Empirical Study on the Impact of C++ Lambdas and Programmer Experience,http://dx.doi.org/10.1145/2884781.2884849,"関数型言語由来の機能が人に与える影響を再現可能な
方法で評価するためには？"
18,4,Languages,18-4,,Understanding and Fixing Multiple Language Interoperability Issues: The C/Fortran Case,http://dx.doi.org/10.1145/2884781.2884858,
19,1,Debugging,19-1,,BigDebug: Debugging Primitives for Interactive Big Data Processing in Spark,http://dx.doi.org/10.1145/2884781.2884813,大規模並列データ処理向けのデバッグ機能をSpark向けに実装した
19,2,Debugging,19-2,,Debugging for Reactive Programming,http://dx.doi.org/10.1145/2884781.2884815,RPで書かれたコードをdependancy graphでモデル化し、dependancy graphを用いてデバッグ
19,3,Debugging,19-3,,Revisit of Automatic Debugging via Human Focus-Tracking Analysis,http://dx.doi.org/10.1145/2884781.2884834,Spectrum-Based Fault Localizationのデバッグでの有用性について調査した
19,4,Debugging,19-4,,RETracer: Triaging Crashes by Reverse Execution from Partial Memory Dumps,http://dx.doi.org/10.1145/2884781.2884844,クラッシュレポートの解析ツールを実装し、実際のMicrosoft社製品の開発において評価を行った
20,1,Requirements,20-1,,"Are ""Non-functional"" Requirements really Non-functional? An Investigation of Non-functional Requirements in Practice",http://dx.doi.org/10.1145/2884781.2884788,
20,2,Requirements,20-2,,Probing for Requirements Knowledge to Stimulate Architectural Thinking,http://dx.doi.org/10.1145/2884781.2884801,
20,3,Requirements,20-3,,Risk-Driven Revision of Requirements Models,http://dx.doi.org/10.1145/2884781.2884838,
20,4,Requirements,20-4,,"Discovering ""Unknown Known"" Security Requirements",http://dx.doi.org/10.1145/2884781.2884785,
21,1,Dynamic Analysis,21-1,,Behavioral Log Analysis with Statistical Guarantees,http://dx.doi.org/10.1145/2884781.2884805,実行ログからFSA等を構築して性質検査するとき、長いログを全部読み込み解析するとスケールしないため、統計的に信頼できる読み込み打ち切りポイントを見つけてスケールさせる。
21,2,Dynamic Analysis,21-2,🏆,Efficient Large-Scale Trace Checking Using MapReduce,http://dx.doi.org/10.1145/2884781.2884832,"実行トレースに対する時相論理式チェックを省メモリ化する理論の提案とMapReduce実装・評価
"
21,3,Dynamic Analysis,21-3,🏆,Feedback-Directed Instrumentation for Deployed JavaScript Applications,http://dx.doi.org/10.1145/2884781.2884846,「オブジェクト o を生成 → クラッシュ箇所で o を参照」の制御フロー(crash path)情報がデバッグに有益なので、crash pathを少ない (iterativeな) instrumentationで低overheadに見つける。
21,4,Dynamic Analysis,21-4,,DoubleTake: Fast and Precise Error Detection via Evidence-Based Dynamic Analysis,http://dx.doi.org/10.1145/2884781.2884784,二度見でエラーを検出
22,1,Security,22-1,,Automated Partitioning of Android Applications for Trusted Execution Environments,http://dx.doi.org/10.1145/2884781.2884817,AndroidアプリケーションにTaint Analysisを適用することで，機密データとそのデータを操作するコードを信頼できる領域に隔離する手法を提案する
22,2,Security,22-2,,Jumping Through Hoops: Why do Java Developers Struggle with Cryptography APIs?,http://dx.doi.org/10.1145/2884781.2884790,暗号化APIの誤用がセキュリティ脆弱性を引き起こすという前提のもとで，開発者が直面する障壁，実施する暗号化タスク，求められる支援を調査する
22,3,Security,22-3,,Finding Security Bugs in Web Applications Using a Catalog of Access Control Patterns,http://dx.doi.org/10.1145/2884781.2884836,Webアプリケーションに潜むバグ・脆弱性に対し，Access Control Patternカタログを用いて検出する手法を提案する
22,4,Security,22-4,,"Reference Hijacking: Patching, Protecting and Analyzing on Unmodified and Non-rooted Android Devices",http://dx.doi.org/10.1145/2884781.2884863,既存ライブラリへの参照を乗っ取ることで，Androidアプリケーションがセキュリティの強化されたライブラリを利用するように切り替える仕組みを実装する
23,1,Collaborative,23-1,,Building a Theory of Job Rotation in Software Engineering from an Instrumental Case Study,http://dx.doi.org/10.1145/2884781.2884837,ジョブローテションの利点や欠点をインタビュー調査により明らかにし，ジョブローテーションの理論を構築する．
23,2,Collaborative,23-2,,The Challenges of Staying Together While Moving Fast: An Exploratory Study,http://dx.doi.org/10.1145/2884781.2884871,"困難な問題に直面する現役のエンジニアらの意見から ”Move Fast, Break Things” のトレンドが続くとわかった．よって今後は開発を短期化した上で品質を保つ方法を研究すべきである．"
23,3,Collaborative,23-3,,The Sky Is Not the Limit: Multitasking Across GitHub Projects,http://dx.doi.org/10.1145/2884781.2884875,複数のプロジェクトに並行に携わること（マルチタスク）が生産性に与える影響を，データ分析とアンケートの両面から調査し，得られた大量の知見を報告した．
23,4,Collaborative,23-4,,Quantifying and Mitigating Turnover-Induced Knowledge Loss: Case Studies of Chrome and a Project at Avaya,http://dx.doi.org/10.1145/2884781.2884851,開発者がソフトウェア開発プロジェクトから離脱することにより生じる知識の喪失(knowledge loss)とリスクを定量化し，これらを軽減するための方法を提案する．
24,1,Software Quality,24-1,,Quality Experience: A Grounded Theory of Successful Agile Projects without Dedicated Testers,http://dx.doi.org/10.1145/2884781.2884789,"アジャイルな手法の適用が可能なソフトウェア開発プロジェクトでは、Testerを必要とせず、開発者によるテストと品質維持ができている"
24,2,Software Quality,24-2,,Code Review Quality: How Developers See It,http://dx.doi.org/10.1145/2884781.2884840,"Mozillaの開発者にコードレビューの質に関する調査を行い，レビューに関してどのような要素を気にしているかを明らかにした"
24,3,Software Quality,24-3,,Revisiting Code Ownership and Its Relationship with Software Quality in the Scope of Modern Code Review,http://dx.doi.org/10.1145/2884781.2884852,"レビューも考慮に入れたコードの所有者 (Code Ownership) に関する分析
"
25,1,Program Analysis,25-1,,IntEQ: Recognizing Benign Integer Overflows via Equivalence Checking across Multiple Precisions,http://dx.doi.org/10.1145/2884781.2884820,
25,2,Program Analysis,25-2,,Nomen est Omen: Exploring and Exploiting Similarities between Argument and Parameter Names,http://dx.doi.org/10.1145/2884781.2884841,
25,3,Program Analysis,25-3,,Floating-Point Precision Tuning Using Blame Analysis,http://dx.doi.org/10.1145/2884781.2884850,
25,4,Program Analysis,25-4,,Crowdsourcing Program Preconditions via a Classification Game,http://dx.doi.org/10.1145/2884781.2884865,
26,1,Concurrency,26-1,,Scalable Thread Sharing Analysis,http://dx.doi.org/10.1145/2884781.2884811,マルチスレッドプログラムにおいて複数のスレッドが共有するデータへのアクセスが生じるプログラム上の位置を特定するスケーラブルなアルゴリズムを2種類提案する
26,2,Concurrency,26-2,,Fixing Deadlocks via Lock Pre-Acquisitions,http://dx.doi.org/10.1145/2884781.2884819,
26,3,Concurrency,26-3,,Coverage-Driven Test Code Generation for Concurrent Classes,http://dx.doi.org/10.1145/2884781.2884876,並行プログラムの不具合を効率良く検出するためのテスト生成手法の提案．既知の不具合に対する実験により，少ないテストで短時間に不具合を検出できることを示している．
26,4,Concurrency,26-4,,Locking Discipline Inference and Checking,http://dx.doi.org/10.1145/2884781.2884882,@GuardedByアノテーションの意味を形式的に定義し、ツールを実装した。15のOSSで実験を行ない有用性を示した。
27,1,Maintenance,27-1,,Improving Refactoring Speed by 10X,http://dx.doi.org/10.1145/2884781.2884802,
27,2,Maintenance,27-2,,SourcererCC: Scaling Code Clone Detection to Big-Code,http://dx.doi.org/10.1145/2884781.2884877,部分的な判定で候補を絞り込むヒューリスティックによって、大規模なコードに適用可能なコードクローン検出ツールを実現した。
27,3,Maintenance,27-3,,Understanding Asynchronous Interactions in Full-Stack JavaScript,http://dx.doi.org/10.1145/2884781.2884864,
27,4,Maintenance,27-4,,Shadow of a Doubt: Testing for Divergences between Software Versions,http://dx.doi.org/10.1145/2884781.2884845,
